Altura,Peso
1.875714232,109.7210746
1.747060363,73.6227919
1.882396677,96.49762889
1.821966851,99.8095856
1.774997615,93.5986951
1.708226599,69.04227249
1.747141064,83.4282869
1.736052294,76.1904141
1.702281321,79.80025182
1.611794947,70.94169989
1.80836271,84.64257046
1.81967645,96.95136364
1.64506476,75.80774117
1.759789981,85.93134241
1.758790799,84.56511611
1.71819874,78.10267771
1.839425242,88.91703476
1.624947873,78.41862298
1.768857521,84.36090411
1.725574523,82.74733562
1.725042275,78.97765694
1.763761773,89.68946415
1.680187952,67.66399134
1.91023173,103.7645982
1.724487187,73.48498115
1.730858433,87.2457602
1.754876638,83.65838787
1.849141425,93.81568861
1.712499554,79.47569832
1.73980895,70.00864337
1.742900008,85.0516734
1.880458714,96.57445369
1.816816687,88.46513742
1.757176092,93.06972507
1.76726094,92.60728955
1.788183594,87.4995626
1.754534748,89.57916001
1.706715491,83.37525497
1.671505818,74.32193759
1.633326372,73.98455204
1.72654814,78.07939359
1.833611419,88.0175151
1.657866776,76.48372312
1.678690505,73.11611112
1.714762167,74.68864543
1.780661571,85.69371525
1.733596646,84.84923921
1.833186812,94.83294843
1.757168384,87.09623747
1.850907148,95.86334401
1.645477608,75.12017003
1.782662167,91.20468787
1.739682836,78.66378517
1.710203104,82.28513919
1.70156998,76.99172898
1.689088567,74.07595599
1.736167639,86.05110372
1.79767126,87.14636482
1.808884461,89.90131106
1.77833948,95.03962162
1.813640828,90.15592543
1.766620929,89.8473606
1.874990778,88.58233163
1.701720822,74.81702372
1.814029034,81.58489372
1.658094225,70.42040627
1.734164463,83.69658797
1.848240397,100.0978759
1.729724247,83.14922177
1.749976334,89.10881634
1.759953553,83.73115946
1.791289903,94.13531207
1.769458621,80.37698926
1.716919828,73.98454528
1.841706258,98.07493943
1.809825834,92.83017047
1.823953347,91.13603807
1.835027203,100.1993573
1.689420743,89.10815772
1.677137464,76.49418469
1.71645971,82.29649429
1.733462842,90.11005844
1.875183626,107.9172161
1.772982595,78.49019337
1.675373276,72.88499855
1.805407047,85.54884506
1.691543392,94.50401712
1.751368991,87.74069384
1.733409329,78.97482865
1.836847358,89.52488614
1.824111679,91.45359605
1.657021058,82.10564992
1.794269464,82.60937006
1.64419091,80.53499118
1.7044302,74.83121105
1.653984116,75.16801767
1.821211344,87.58603926
1.697555107,81.95683253
1.688370392,78.36884244
1.763052766,80.49931741
1.779325308,91.08984699
1.695287558,76.08548222
1.68336796,70.03267737
1.735542579,80.73251487
1.77992756,83.43326208
1.745817899,81.28592183
1.715923702,71.92522921
1.682842266,75.52473151
1.757227948,78.01048392
1.717271265,79.09026274
1.760035546,85.15985912
1.732043374,91.39340239
1.818819979,92.9533291
1.757600181,81.05040052
1.708453809,74.39569297
1.871603912,101.2735704
1.766245261,92.06033917
1.73511362,85.90666889
1.720569672,80.81680458
1.82132637,101.2868747
1.616259521,75.76294693
1.745518441,81.85921718
1.700513278,74.58834177
1.592757539,68.02507464
1.835363587,87.50262502
1.801079788,91.57304144
1.717290027,81.5867642
1.798359598,89.11626088
1.760341134,85.07199719
1.682569618,77.87870722
1.714301702,86.95347807
1.671478707,75.2285884
1.814670124,84.21520285
1.738995908,80.86726451
1.625293285,68.4829457
1.803448201,95.22233933
1.730748994,78.99665121
1.737243166,81.59173154
1.729643982,76.08882334
1.730770995,83.02766133
1.749046294,76.9096802
1.680180855,78.66728345
1.681633214,82.05012178
1.712775853,83.23825179
1.764566093,93.43000846
1.791102836,83.3520637
1.811994751,91.60501825
1.803449397,98.03042596
1.681539632,72.29823468
1.842599999,95.40699738
1.713975535,81.01992079
1.659900428,66.56005257
1.799439185,88.875535
1.776437272,77.19046884
1.644391313,76.95378448
1.760433433,89.98306179
1.748496957,81.60476769
1.573208011,66.79768457
1.742270723,80.27870591
1.65655182,84.1267737
1.634074662,80.50983445
1.74622223,77.03244796
1.841237247,90.07514313
1.707741845,92.23816234
1.708495563,87.64206209
1.654010009,80.80065197
1.683075629,73.83557702
1.719622663,72.25114585
1.664479678,78.06973869
1.774671833,91.55174251
1.739439634,77.27051692
1.834234669,93.16322833
1.73176013,77.01443613
1.828322646,90.91683471
1.678054473,81.0065869
1.69306657,76.20988192
1.717025375,80.63349439
1.73344698,87.66925554
1.646138985,73.65412066
1.714302344,83.18150353
1.73179056,82.12566337
1.766655976,95.64983907
1.686617142,75.1006079
1.691440791,88.97144022
1.827171519,91.64671686
1.73449086,77.29830984
1.77686846,91.60211063
1.82501868,87.71886067
1.670189665,81.5811685
1.702609043,70.9826405
1.948429805,106.6102726
1.843306483,104.5804995
1.771111644,92.48551338
1.84910029,98.98129251
1.842499593,101.0001329
1.836286482,94.56260851
1.70823445,82.00032886
1.928989294,105.1992963
1.684432291,77.3800724
1.807363759,85.39849607
1.808281938,88.9320137
1.833816805,97.34254837
1.908576864,101.6610594
1.636052846,71.93040465
1.644254379,75.52363522
1.610730513,72.63856136
1.723356097,79.91056272
1.674667335,79.14519835
1.802550381,87.95450835
1.716550981,84.81796605
1.742167469,78.74172858
1.786248737,87.70052452
1.838819802,94.54521011
1.79884976,93.4549867
1.673943852,78.27880803
1.899802526,105.5216437
1.719095343,80.39477766
1.705761454,79.67199849
1.823080967,96.44557767
1.642496891,75.73595696
1.730318316,89.09208014
1.696387952,75.03834922
1.696868586,80.08890812
1.724304751,79.22083034
1.757008854,88.55825363
1.783713053,93.29689189
1.647337299,71.82247013
1.722655769,76.69385528
1.611382286,61.53247025
1.824950245,98.95456362
1.694893071,70.71484242
1.827994964,91.41164361
1.930942226,107.014261
1.815492973,88.6286005
1.711193139,80.12081608
1.792103192,90.02005451
1.774624373,84.23977336
1.725868279,80.44359975
1.882255795,97.86695526
1.756863042,84.83194287
1.690553606,77.8309551
1.694220767,78.39881864
1.70805005,76.33065416
1.753905191,74.30772381
1.795087778,86.19317987
1.663674476,71.15501317
1.65575541,78.29298352
1.716230832,76.68613273
1.874910797,104.9497115
1.818806731,94.00723496
1.720208631,78.08718394
1.733070752,90.64034634
1.674607311,76.24452844
1.817331791,89.72946791
1.75677528,89.3088518
1.742380547,81.74722436
1.804860777,85.78974493
1.616559113,71.8593358
1.808034367,94.76573479
1.679668299,84.88578392
1.652457277,71.47818857
1.729520909,82.3925343
1.803225855,92.87153101
1.885217842,104.8388906
1.760908802,84.48540251
1.649256092,82.1427975
1.736009795,90.22903862
1.801599777,92.24729039
1.561536354,73.0414133
1.739666643,86.09486264
1.830067203,90.81047546
1.842050343,100.6352054
1.809341349,97.09604994
1.835381526,91.49022586
1.716152013,84.90663742
1.835597218,89.14335948
1.590046299,68.81935357
1.682405507,75.88488326
1.76912111,90.19398333
1.759862404,81.09757481
1.79642208,87.78792805
1.74824682,89.69240497
1.676766477,83.67047025
1.686938004,70.39516431
1.69203686,73.02473825
1.728084473,85.76726911
1.79076091,78.46502861
1.756606329,88.85659385
1.798193574,97.86094598
1.655937179,75.61719246
1.899557144,108.6191988
1.80509942,83.58765984
1.761088624,90.71116704
1.77543978,86.82312755
1.636399922,76.70673417
1.72344412,88.33462951
1.715746365,83.12830109
1.89909315,95.42218546
1.814041228,89.83055963
1.704856748,78.31911398
1.774433533,89.38983672
1.73814266,86.41198186
1.725510458,83.71295898
1.739781716,81.61479195
1.657201243,72.34944349
1.782707942,89.75890256
1.806044982,98.55183515
1.738568495,85.2333747
1.661682651,80.2231105
1.719600018,83.98181179
1.885265802,101.2908232
1.807648045,93.86775757
1.707661606,77.5719794
1.724166203,79.4797469
1.711359937,78.61227309
1.746535672,82.15735959
1.821313922,91.90190026
1.762277268,90.65085245
1.872399802,101.3845726
1.764115756,99.45543719
1.797971761,95.80600272
1.822918979,91.08088659
1.761323731,94.71452086
1.658265048,73.21891742
1.801414848,94.27279868
1.742355232,82.02366972
1.742536429,80.2021509
1.764760101,88.27078456
1.674644764,73.93938086
1.740492971,78.59424805
1.877799753,97.80360288
1.808427621,95.31541903
1.690537306,83.93378634
1.822253816,85.25965103
1.771518665,85.35752239
1.695466615,81.43888905
1.770187525,96.03386398
1.788249327,89.67164727
1.753101297,84.49881179
1.644200094,75.34444705
1.803351091,85.64357824
1.637279282,73.2001802
1.771637874,87.75935477
1.81678196,85.85698261
1.735529063,94.2496564
1.797423892,90.41143474
1.814043861,95.19010398
1.762518042,81.72621972
1.828843998,89.0013613
1.757463464,85.92801259
1.680625627,75.07616304
1.708712432,82.73267855
1.801262219,85.98189805
1.75564515,86.01286779
1.712189257,77.19748664
1.852641686,98.02015663
1.790469589,80.31659144
